Date,SPY Put/Call Ratio,SPY Put Volume,SPY Call Volume,Total SPY Options Volume
7/6/10,1.91,446308,233843,680151
7/7/10,0.91,302882,331481,634363
7/8/10,1.12,280436,251021,531457
7/9/10,1.2,376805,315132,691937
7/12/10,1.49,421390,283127,704517
7/13/10,1.25,652349,519892,1172241
7/14/10,1.01,475499,469171,944670
7/15/10,0.87,365810,421520,787330
7/16/10,2.22,416822,187961,604783
7/19/10,1.76,277724,158190,435914
7/20/10,1.49,258007,173110,431117
7/21/10,2.48,496196,199764,695960
7/22/10,1.27,229104,180425,409529
7/23/10,1.59,296888,186205,483093
7/26/10,1.7,256861,151049,407910
7/27/10,1.4,279835,200452,480287
7/28/10,1.99,211544,106265,317809
7/29/10,1.74,207817,119150,326967
7/30/10,1.18,228363,193948,422311
8/2/10,2.1,413466,196904,610370
8/3/10,1.27,246879,194021,440900
8/4/10,3.29,333891,101417,435308
8/5/10,2.67,287807,107609,395416
8/6/10,1.74,279442,160365,439807
8/9/10,2.01,234983,117091,352074
8/10/10,2.49,311464,125181,436645
8/11/10,1.64,476682,291174,767856
8/12/10,2.98,444674,149367,594041
8/13/10,1.83,274615,149993,424608
8/16/10,1.55,381664,246236,627900
8/17/10,1.72,462916,269395,732311
8/18/10,1.92,692770,361525,1054295
8/19/10,1.31,581072,442228,1023300
8/20/10,2.03,471009,232471,703480
8/23/10,1.78,285260,160060,445320
8/24/10,0.87,253205,290972,544177
8/25/10,1.97,414968,210619,625587
8/26/10,1.47,353615,240743,594358
8/27/10,1.11,381093,343799,724892
8/30/10,3.04,361417,118995,480412
8/31/10,1.82,299674,164500,464174
9/1/10,1.21,528544,438618,967162
9/2/10,1.31,274573,210312,484885
9/3/10,2.08,458007,220653,678660
9/7/10,2,325774,163212,488986
9/8/10,2.04,402237,197068,599305
9/9/10,1.88,491183,261832,753015
9/10/10,1.95,457802,234282,692084
9/13/10,0.92,446342,486545,932887
9/14/10,1.58,543980,344231,888211
9/15/10,1.53,692490,453308,1145798
9/16/10,1.03,519709,505167,1024876
9/17/10,2.4,398714,166039,564753
9/20/10,2.16,434344,200634,634978
9/21/10,2.01,479147,238532,717679
9/22/10,2.14,335991,157311,493302
9/23/10,1.7,238462,140564,379026
9/24/10,1.57,325244,206797,532041
9/27/10,1.73,285811,165309,451120
9/28/10,2.36,356450,151125,507575
9/29/10,1.42,273665,192207,465872
9/30/10,1.76,306815,174032,480847
10/1/10,1.32,250192,189120,439312
10/4/10,1.48,284004,191362,475366
10/5/10,1.16,423086,364935,788021
10/6/10,1.43,291673,203528,495201
10/7/10,1.38,311060,225162,536222
10/8/10,1.69,342152,202901,545053
10/11/10,1.49,435530,292632,728162
10/12/10,1.79,391360,218347,609707
10/13/10,1.27,719009,566538,1285547
10/14/10,1.49,602603,404512,1007115
10/15/10,2.85,402112,140893,543005
10/18/10,1.45,258230,178633,436863
10/19/10,1.46,311205,213441,524646
10/20/10,1.93,636058,330030,966088
10/21/10,1.7,395101,231824,626925
10/22/10,1.06,270423,255459,525882
10/25/10,1.91,366773,191817,558590
10/26/10,1.97,324875,164611,489486
10/27/10,2.15,354334,164490,518824
10/28/10,2.22,372243,167631,539874
10/29/10,3.37,412796,122416,535212
11/1/10,2.57,332110,129011,461121
11/2/10,1.21,237656,196660,434316
11/3/10,1.97,340559,172666,513225
11/4/10,1.73,821214,474096,1295310
11/5/10,1.62,457927,282470,740397
11/8/10,1.25,267589,214469,482058
11/9/10,1.59,328221,206254,534475
11/10/10,1.61,332418,206909,539327
11/11/10,1.64,264923,161571,426494
11/12/10,1.22,482395,394483,876878
11/15/10,1.46,282617,193520,476137
11/16/10,1.8,688513,382553,1071066
11/17/10,1.6,647764,405506,1053270
11/18/10,1.19,559045,468464,1027509
11/19/10,1.09,354882,324830,679712
11/22/10,2.21,345343,156142,501485
11/23/10,1.99,360070,181312,541382
11/24/10,2,301226,150502,451728
11/26/10,2.07,142332,68602,210934
11/29/10,2.24,339116,151633,490749
11/30/10,2.12,342442,161303,503745
12/1/10,1.67,433978,260012,693990
12/2/10,1.58,440526,279162,719688
12/3/10,1.31,316799,241539,558338
12/6/10,1.32,343677,261073,604750
12/7/10,1.29,446408,347344,793752
12/8/10,2.05,409138,199800,608938
12/9/10,1.33,344052,259315,603367
12/10/10,1.48,480090,324017,804107
12/13/10,1.26,379467,301426,680893
12/14/10,1.1,360020,326470,686490
12/15/10,1.12,364332,325835,690167
12/16/10,1.1,332072,302961,635033
12/17/10,2.45,434691,177767,612458
12/20/10,1.92,251959,131482,383441
12/21/10,1.54,259066,168290,427356
12/22/10,2.75,426163,154970,581133
12/23/10,1.96,221915,113384,335299
12/27/10,2.06,109844,53326,163170
12/28/10,1.45,164714,113358,278072
12/29/10,1.74,173045,99667,272712
12/30/10,2.31,240358,103930,344288
12/31/10,1.97,168654,85563,254217
1/3/11,1.41,399556,284217,683773
1/4/11,1.5,260938,174445,435383
1/5/11,1.81,378145,209030,587175
1/6/11,0.86,317821,370381,688202
1/7/11,1.79,348059,194346,542405
1/10/11,1.59,215179,135231,350410
1/11/11,1.9,391935,206034,597969
1/12/11,1.29,386800,300364,687164
1/13/11,1.39,323465,232643,556108
1/14/11,1.46,361425,247644,609069
1/18/11,1.48,433990,293000,726990
1/19/11,2.28,923136,404894,1328030
1/20/11,1.65,544906,331153,876059
1/21/11,1.57,374895,239100,613995
1/24/11,2.06,288865,140098,428963
1/25/11,2.44,386234,158497,544731
1/26/11,1.06,321204,303675,624879
1/27/11,2.66,443392,166634,610026
1/28/11,2.31,614933,266085,881018
1/31/11,3.06,453935,148255,602190
2/1/11,1.21,423162,350111,773273
2/2/11,2.35,275503,117182,392685
2/3/11,1.67,317349,190429,507778
2/4/11,1.85,319476,172701,492177
2/7/11,1.85,371542,201266,572808
2/8/11,1.37,327761,238876,566637
2/9/11,1.46,413857,284144,698001
2/10/11,1.66,256436,154873,411309
2/11/11,1.84,448735,243787,692522
2/14/11,2.09,456977,218383,675360
2/15/11,1.79,349492,195773,545265
2/16/11,1.88,788840,420641,1209481
2/17/11,1.22,471153,387277,858430
2/18/11,2.75,489717,177837,667554
2/22/11,2.51,492638,196518,689156
2/23/11,1.37,398733,291055,689788
2/24/11,2.59,472217,182365,654582
2/25/11,1.88,423019,224422,647441
2/28/11,2.3,356714,155372,512086
3/1/11,2.31,477889,206728,684617
3/2/11,2.02,373438,184930,558368
3/3/11,1.6,429925,268639,698564
3/4/11,1.98,440799,223184,663983
3/7/11,2.28,324997,142290,467287
3/8/11,1.55,482187,310874,793061
3/9/11,2.27,365063,160827,525890
3/10/11,1.35,432281,319583,751864
3/11/11,2.08,450596,217141,667737
3/14/11,1.8,606242,336106,942348
3/15/11,1.69,718903,424336,1143239
3/16/11,2.51,1177409,468162,1645571
3/17/11,2.17,842651,388710,1231361
3/18/11,2.02,475254,234963,710217
3/21/11,2,474915,237775,712690
3/22/11,1.98,352837,178191,531028
3/23/11,1.4,301774,215825,517599
3/24/11,2.23,391567,175675,567242
3/25/11,1.99,431083,216323,647406
3/28/11,1.82,308909,170187,479096
3/29/11,1.73,237514,137199,374713
3/30/11,1.49,331270,222347,553617
3/31/11,2.1,324664,154341,479005
4/1/11,2.22,550947,248062,799009
4/4/11,2.15,351528,163851,515379
4/5/11,1.69,357147,210989,568136
4/6/11,1.48,245411,165849,411260
4/7/11,1.93,335297,173831,509128
4/8/11,1.73,393125,227537,620662
4/11/11,1.37,316288,230973,547261
4/12/11,1.5,480351,321063,801414
4/13/11,1.68,401680,238448,640128
4/14/11,1.58,603043,381694,984737
4/15/11,2.14,423879,198100,621979
4/18/11,1.81,341162,188450,529612
4/19/11,1.17,263777,226306,490083
4/20/11,2.17,563761,260028,823789
4/21/11,1.6,371682,232710,604392
4/25/11,1.3,118276,90837,209113
4/26/11,1.15,333044,290054,623098
4/27/11,1.21,278929,230735,509664
4/28/11,1.96,358727,183078,541805
4/29/11,1.75,468509,267411,735920
5/2/11,1.38,328867,238717,567584
5/3/11,1.84,350750,190184,540934
5/4/11,2.08,292007,140614,432621
5/5/11,1.94,396330,204708,601038
5/6/11,1.85,390609,211060,601669
5/9/11,1.94,211882,109438,321320
5/10/11,1.54,280090,181972,462062
5/11/11,2.2,443775,201536,645311
5/12/11,1.8,329366,182716,512082
5/13/11,1.81,337124,186281,523405
5/16/11,1.88,434100,231165,665265
5/17/11,1.89,553411,292448,845859
5/18/11,1.15,524719,455723,980442
5/19/11,1.8,648881,360091,1008972
5/20/11,2.08,471665,227136,698801
5/23/11,2.13,557752,262073,819825
5/24/11,1.84,298364,162275,460639
5/25/11,1.3,265495,203590,469085
5/26/11,1.76,397749,225802,623551
5/27/11,1.2,271929,226106,498035
5/31/11,1.61,256706,159424,416130
6/1/11,2.19,530877,242795,773672
6/2/11,1.61,388469,242022,630491
6/3/11,2.23,539584,242083,781667
6/6/11,1.46,487194,333513,820707
6/7/11,1.4,450517,321605,772122
6/8/11,1.77,526274,296987,823261
6/9/11,1.43,392746,275428,668174
6/10/11,1.77,598930,337467,936397
6/13/11,1.67,520904,312657,833561
6/14/11,1.5,585602,389228,974830
6/15/11,2.86,1182448,413868,1596316
6/16/11,1.92,789141,411952,1201093
6/17/11,2.03,457340,225314,682654
6/20/11,1.65,350213,211726,561939
6/21/11,1.57,489171,310657,799828
6/22/11,2.01,350585,174710,525295
6/23/11,2.41,543128,225471,768599
6/24/11,2.11,421362,199455,620817
6/27/11,2.42,419974,173358,593332
6/28/11,1.43,462199,324349,786548
6/29/11,1.4,444858,317250,762108
6/30/11,1.38,582471,422853,1005324
7/1/11,1.3,575081,441808,1016889
7/5/11,1.87,476711,254361,731072
7/6/11,2.04,403748,197464,601212
7/7/11,1.15,605708,528489,1134197
7/8/11,1.65,440601,266881,707482
7/11/11,2.88,727041,252068,979109
7/12/11,2.24,659525,294216,953741
7/13/11,1.86,506197,272384,778581
7/14/11,2,749008,373574,1122582
7/15/11,2.48,492180,198091,690271
7/18/11,1.99,502246,252767,755013
7/19/11,1.63,307003,188866,495869
7/20/11,1.98,420963,213021,633984
7/21/11,1.16,413207,355211,768418
7/22/11,1.58,328293,208421,536714
7/25/11,1.65,317712,192577,510289
7/26/11,1.99,259020,130485,389505
7/27/11,2.92,602797,206723,809520
7/28/11,1.6,388386,243443,631829
7/29/11,2.3,719899,312336,1032235
8/1/11,2.41,636053,263904,899957
8/2/11,2.1,872419,415921,1288340
8/3/11,1.51,764846,505187,1270033
8/4/11,2.24,1176255,526020,1702275
8/5/11,2.59,1552718,599925,2152643
8/8/11,2.04,1440873,704645,2145518
8/9/11,2.64,1448237,549192,1997429
8/10/11,1.74,920441,529725,1450166
8/11/11,1.38,875151,634528,1509679
8/12/11,1.79,762312,426792,1189104
8/15/11,2.1,738586,351876,1090462
8/16/11,1.4,671094,478242,1149336
8/17/11,2.19,1003554,457332,1460886
8/18/11,1.94,1268533,654950,1923483
8/19/11,1.67,674209,403124,1077333
8/22/11,2.01,498034,248141,746175
8/23/11,1.78,587142,330109,917251
8/24/11,1.73,634390,367648,1002038
8/25/11,1.72,442292,256641,698933
8/26/11,1.65,599471,363738,963209
8/29/11,2.26,670986,297343,968329
8/30/11,1.84,550027,299463,849490
8/31/11,1.4,563966,401887,965853
9/1/11,1.78,616683,345739,962422
9/2/11,1.88,623742,332355,956097
9/6/11,1.88,627915,334315,962230
9/7/11,1.98,679398,342755,1022153
9/8/11,1.26,486617,384749,871366
9/9/11,1.8,972308,540561,1512869
9/12/11,2.2,795196,360948,1156144
9/13/11,1.71,714627,418285,1132912
9/14/11,1.49,782607,523922,1306529
9/15/11,1.28,770832,602171,1373003
9/16/11,1.76,536185,305377,841562
9/19/11,2.33,352373,151291,503664
9/20/11,1.91,399160,208669,607829
9/21/11,2.66,919674,345973,1265647
9/22/11,2.75,840713,305208,1145921
9/23/11,1.31,475432,363289,838721
9/26/11,1.86,373691,201220,574911
9/27/11,1.82,532471,292619,825090
9/28/11,2.45,412611,168726,581337
9/29/11,2.2,476797,217102,693899
9/30/11,1.49,449586,300953,750539
10/3/11,2.29,688758,301073,989831
10/4/11,1.98,885824,448183,1334007
10/5/11,1.91,588192,308355,896547
10/6/11,1.7,646717,381298,1028015
10/7/11,2.16,559075,258329,817404
10/10/11,1.96,509134,260065,769199
10/11/11,1.9,486149,255436,741585
10/12/11,1.7,747380,438982,1186362
10/13/11,1.4,412365,294270,706635
10/14/11,1.71,502700,293517,796217
10/17/11,2.05,573795,279826,853621
10/18/11,1.64,539476,329739,869215
10/19/11,1.78,872288,490057,1362345
10/20/11,1.4,666036,474937,1140973
10/21/11,2.12,606638,286048,892686
10/24/11,2.24,719191,321049,1040240
10/25/11,1.94,341674,176088,517762
10/26/11,1.63,290404,178656,469060
10/27/11,1.6,821580,511936,1333516
10/28/11,1.54,429693,278463,708156
10/31/11,3.02,526876,174573,701449
11/1/11,2.29,760626,331572,1092198
11/2/11,2.29,441762,193119,634881
11/3/11,1.55,505289,325189,830478
11/4/11,1.57,336525,214469,550994
11/7/11,2.3,350127,152519,502646
11/8/11,1.91,458585,240253,698838
11/9/11,2.17,711870,328508,1040378
11/10/11,1.96,416434,211948,628382
11/11/11,1.48,430765,290576,721341
11/14/11,1.2,446063,372538,818601
11/15/11,1.59,467814,294739,762553
11/16/11,2.54,951672,373980,1325652
11/17/11,2.14,1044452,488053,1532505
11/18/11,1.05,414503,394695,809198
11/21/11,1.81,517185,285296,802481
11/22/11,1.66,461933,279092,741025
11/23/11,2.16,727227,336919,1064146
11/25/11,1.88,289543,154355,443898
11/28/11,2.71,390236,144260,534496
11/29/11,2.07,414480,200642,615122
11/30/11,2.33,706361,303182,1009543
12/1/11,1.54,477368,308980,786348
12/2/11,1.67,465757,279463,745220
12/5/11,1.52,446912,294585,741497
12/6/11,1.4,379354,271701,651055
12/7/11,1.17,392427,336097,728524
12/8/11,1.23,413714,335544,749258
12/9/11,1.61,556758,346567,903325
12/12/11,1.66,474128,286346,760474
12/13/11,1.57,705256,450524,1155780
12/14/11,1.74,658207,378966,1037173
12/15/11,1.8,612975,339758,952733
12/16/11,1.36,411954,303356,715310
12/19/11,1.6,291189,182087,473276
12/20/11,1.25,264452,212281,476733
12/21/11,2.53,513548,203292,716840
12/22/11,3.06,453426,148270,601696
12/23/11,1.84,234703,127814,362517
12/27/11,1.38,129409,94024,223433
12/28/11,2.19,205176,93786,298962
12/29/11,2.8,262557,93854,356411
12/30/11,1.49,182902,122837,305739
1/3/12,1.88,347027,184834,531861
1/4/12,1.99,278923,139835,418758
1/5/12,1.69,293902,173680,467582
1/6/12,1.45,337757,233240,570997
1/9/12,1.89,339113,179158,518271
1/10/12,1.44,376699,261146,637845
1/11/12,1.94,342948,176744,519692
1/12/12,1.58,349105,221225,570330
1/13/12,1.72,392713,228687,621400
1/17/12,1.44,409240,284696,693936
1/18/12,1.61,815717,505971,1321688
1/19/12,1.15,581422,505041,1086463
1/20/12,2.19,455866,208625,664491
1/23/12,2.23,367067,164730,531797
1/24/12,1.9,247426,129967,377393
1/25/12,1.68,276773,164588,441361
1/26/12,1.98,474526,240072,714598
1/27/12,1.75,361037,205849,566886
1/30/12,1.93,299306,155123,454429
1/31/12,1.59,235677,147843,383520
2/1/12,1.59,425766,268494,694260
2/2/12,1.97,276368,139944,416312
2/3/12,1.25,614365,491489,1105854
2/6/12,1.68,249977,148690,398667
2/7/12,2.63,332697,126655,459352
2/8/12,1.43,329159,229612,558771
2/9/12,1.54,422001,274182,696183
2/10/12,1.56,552782,354634,907416
2/13/12,2.27,471351,207225,678576
2/14/12,1.79,457109,255852,712961
2/15/12,2.41,925228,384411,1309639
2/16/12,1.65,659238,399437,1058675
2/17/12,2.12,434173,204608,638781
2/21/12,1.44,484034,335979,820013
2/22/12,2.11,476652,226385,703037
2/23/12,2.13,478566,224322,702888
2/24/12,2.24,469397,209678,679075
2/27/12,2.06,331661,161307,492968
2/28/12,1.21,291743,241785,533528
2/29/12,2.36,439058,186038,625096
3/1/12,2.35,424793,180588,605381
3/2/12,2.08,343214,165103,508317
3/5/12,2.09,332238,158717,490955
3/6/12,1.65,524728,318875,843603
3/7/12,1.77,356837,201100,557937
3/8/12,1,374323,374402,748725
3/9/12,1.46,378303,259019,637322
3/12/12,1.41,322989,228277,551266
3/13/12,1.35,582414,430649,1013063
3/14/12,1.03,426959,415293,842252
3/15/12,1.22,523453,429411,952864
3/16/12,2.07,446854,215532,662386
3/19/12,1.39,415041,298022,713063
3/20/12,2.19,422389,192814,615203
3/21/12,2.78,570743,205561,776304
3/22/12,2.41,454250,188344,642594
3/23/12,2.49,393347,157917,551264
3/26/12,1.73,381006,219938,600944
3/27/12,2.49,459758,184327,644085
3/28/12,2.57,492669,191562,684231
3/29/12,1.7,449344,264193,713537
3/30/12,2.44,412520,169010,581530
4/2/12,1.65,405147,245589,650736
4/3/12,1.74,380053,218337,598390
4/4/12,1.8,376078,209045,585123
4/5/12,2.27,436801,192337,629138
4/9/12,2.39,435601,182457,618058
4/10/12,1.56,688311,440298,1128609
4/11/12,1.97,448562,227469,676031
4/12/12,1.93,481092,248738,729830
4/13/12,2.15,432839,201372,634211
4/16/12,1.56,402489,258127,660616
4/17/12,1.47,432215,294270,726485
4/18/12,2.66,621828,233555,855383
4/19/12,1.7,659809,389110,1048919
4/20/12,1.52,351092,230312,581404
4/23/12,1.06,298679,280950,579629
4/24/12,2.57,304053,118499,422552
4/25/12,1.47,313709,213322,527031
4/26/12,1.19,367636,309175,676811
4/27/12,1.82,375948,206153,582101
4/30/12,2.07,238740,115367,354107
5/1/12,1.66,319161,191694,510855
5/2/12,2.33,378016,162057,540073
5/3/12,1.03,301964,293618,595582
5/4/12,1.75,560798,319568,880366
5/7/12,1.34,285072,212171,497243
5/8/12,2.02,508453,252015,760468
5/9/12,1.67,443306,265736,709042
5/10/12,1.53,459189,299926,759115
5/11/12,2.46,436861,177609,614470
5/14/12,2.61,700412,268605,969017
5/15/12,2.3,645851,280456,926307
5/16/12,2.3,914682,397267,1311949
5/17/12,2.5,1277102,511388,1788490
5/18/12,2.18,822209,377412,1199621
5/21/12,1.72,488733,283680,772413
5/22/12,1.69,523212,310111,833323
5/23/12,1.85,449951,242749,692700
5/24/12,1.56,476179,305071,781250
5/25/12,2.11,382297,181589,563886
5/29/12,1.61,415369,258391,673760
5/30/12,2.14,405552,189378,594930
5/31/12,2.16,572154,264770,836924
6/1/12,2.6,903208,346801,1250009
6/4/12,2.14,563177,263113,826290
6/5/12,2.17,510798,235014,745812
6/6/12,2.15,728974,339456,1068430
6/7/12,1.39,577814,414289,992103
6/8/12,1.21,388015,320215,708230
6/11/12,1.54,360169,234521,594690
6/12/12,1.54,369393,239693,609086
6/13/12,1.93,407820,211019,618839
6/14/12,1.37,533086,389695,922781
6/15/12,1.84,506441,274985,781426
6/18/12,1.73,413287,238336,651623
6/19/12,1.63,453948,278475,732423
6/20/12,1.98,555690,281243,836933
6/21/12,1.96,557610,284663,842273
6/22/12,1.53,432543,282162,714705
6/25/12,1.87,421838,225614,647452
6/26/12,1.52,266720,176004,442724
6/27/12,1.38,304131,220751,524882
6/28/12,1.92,323178,168547,491725
6/29/12,1.06,458030,431168,889198
7/2/12,1.67,373245,223757,597002
7/3/12,1.26,237293,187652,424945
7/5/12,1.59,316550,199635,516185
7/6/12,1.91,344554,180855,525409
7/9/12,2,317832,159176,477008
7/10/12,1.66,355399,213885,569284
7/11/12,1.21,309215,254610,563825
7/12/12,1.46,421251,287799,709050
7/13/12,1.53,475514,310009,785523
7/16/12,1.49,315117,211717,526834
7/17/12,1.09,419415,386206,805621
7/18/12,1.42,590236,417100,1007336
7/19/12,1.24,557620,450075,1007695
7/20/12,2.08,393538,189467,583005
7/23/12,1.39,323316,232297,555613
7/24/12,2.02,399102,197146,596248
7/25/12,1.39,301199,217212,518411
7/26/12,1.5,400811,266755,667566
7/27/12,1.19,501491,420198,921689
7/30/12,1.05,275513,262762,538275
7/31/12,1.01,237823,234460,472283
8/1/12,1.22,337866,277109,614975
8/2/12,1.21,398118,329886,728004
8/3/12,1.19,421775,353423,775198
8/6/12,1.49,308304,207154,515458
8/7/12,1.34,371909,276711,648620
8/8/12,1.38,273479,197601,471080
8/9/12,1.71,307588,180118,487706
8/10/12,1.49,276529,185291,461820
8/13/12,2.16,469853,217469,687322
8/14/12,1.77,377466,213092,590558
8/15/12,1.18,322606,273767,596373
8/16/12,1.08,671032,619681,1290713
8/17/12,1.56,349465,223340,572805
8/20/12,2.41,493085,204565,697650
8/21/12,1.26,393310,311473,704783
8/22/12,2.03,387703,191364,579067
8/23/12,1.63,414956,255242,670198
8/24/12,1.56,305392,195752,501144
8/27/12,1.86,220979,118963,339942
8/28/12,1.78,241203,135872,377075
8/29/12,1.74,216243,124121,340364
8/30/12,1.51,367403,243725,611128
8/31/12,1.66,339992,204530,544522
9/4/12,1.35,280887,207973,488860
9/5/12,2.06,302617,146658,449275
9/6/12,1.21,494363,407435,901798
9/7/12,1.64,576154,350839,926993
9/10/12,1.98,423603,214323,637926
9/11/12,1.8,484639,269520,754159
9/12/12,1.2,370272,308221,678493
9/13/12,0.96,588093,610823,1198916
9/14/12,0.99,616264,625390,1241654
9/17/12,1.33,355627,266972,622599
9/18/12,1.38,441965,321351,763316
9/19/12,1.42,568212,399070,967282
9/20/12,1.22,553308,454120,1007428
9/21/12,1.53,499524,327070,826594
9/24/12,2.11,357006,168997,526003
9/25/12,1.65,344159,209212,553371
9/26/12,1.71,405307,237399,642706
9/27/12,1.78,438713,245904,684617
9/28/12,2.21,433680,195875,629555
10/1/12,1.67,335502,201193,536695
10/2/12,2.17,287641,132660,420301
10/3/12,1.99,316797,159301,476098
10/4/12,1.55,426880,275730,702610
10/5/12,1.74,502377,289417,791794
10/8/12,1.82,216152,118837,334989
10/9/12,2.04,322534,158308,480842
10/10/12,1.74,426158,244662,670820
10/11/12,1.84,395525,214731,610256
10/12/12,2.05,517186,252669,769855
10/15/12,1.55,318494,205627,524121
10/16/12,1.04,343439,331268,674707
10/17/12,1.74,664199,381280,1045479
10/18/12,1.41,621782,442255,1064037
10/19/12,2.02,635710,315324,951034
10/22/12,1.66,446603,269536,716139
10/23/12,1.03,438420,425618,864038
10/24/12,1.51,309059,204322,513381
10/25/12,1.64,347371,211169,558540
10/26/12,1.63,393371,241416,634787
10/31/12,1.36,317199,232897,550096
11/1/12,1.84,466306,253801,720107
11/2/12,1.4,415171,297557,712728
11/5/12,1.38,338350,245806,584156
11/6/12,1.44,373618,258576,632194
11/7/12,1.22,632780,520237,1153017
11/8/12,1.52,652297,427835,1080132
11/9/12,2.15,811006,377073,1188079
11/12/12,1.69,459528,272427,731955
11/13/12,1.28,435452,340352,775804
11/14/12,1.95,870293,446092,1316385
11/15/12,1.86,956608,513844,1470452
11/16/12,1.64,718021,438352,1156373
11/19/12,1.26,362980,287348,650328
11/20/12,1.99,378477,189752,568229
11/21/12,2.17,416851,192212,609063
11/23/12,1.44,313037,217601,530638
11/26/12,1.18,303458,257022,560480
11/27/12,2.08,340538,163992,504530
11/28/12,1.12,287358,255541,542899
11/29/12,1.65,386965,234378,621343
11/30/12,1.83,412814,225692,638506
12/3/12,1.73,408202,236086,644288
12/4/12,1.89,404039,213966,618005
12/5/12,1.59,376166,235895,612061
12/6/12,1.81,379862,209897,589759
12/7/12,1.17,413497,354641,768138
12/10/12,1.53,352353,230621,582974
12/11/12,0.97,377884,389707,767591
12/12/12,1.51,416912,276269,693181
12/13/12,1.39,397410,286514,683924
12/14/12,1.63,464941,285062,750003
12/17/12,1.09,288637,265918,554555
12/18/12,1.09,560929,513834,1074763
12/19/12,1.38,788931,570590,1359521
12/20/12,1.46,725082,495047,1220129
12/21/12,2.03,714265,352594,1066859
12/24/12,1.95,223778,114981,338759
12/26/12,1.78,327177,183817,510994
12/27/12,1.73,446604,258314,704918
12/28/12,1.7,473715,278766,752481
12/31/12,1.52,464831,305152,769983
1/2/13,1.48,680770,461360,1142130
1/3/13,1.22,508287,418010,926297
1/4/13,1,377206,378756,755962
1/7/13,1.45,464899,320674,785573
1/8/13,2.08,443647,213792,657439
1/9/13,1.33,443695,333733,777428
1/10/13,1.19,426809,357414,784223
1/11/13,1.36,409969,301329,711298
1/14/13,1.56,403092,258555,661647
1/15/13,1.8,444905,246769,691674
1/16/13,1.85,612065,330892,942957
1/17/13,1.02,621876,607476,1229352
1/18/13,1.51,464799,307397,772196
1/22/13,1.53,509126,332332,841458
1/23/13,1.49,412315,276399,688714
1/24/13,1.3,637160,489743,1126903
1/25/13,1.29,436076,337388,773464
1/28/13,1.55,319980,206154,526134
1/29/13,1.78,483014,270758,753772
1/30/13,2.43,422616,173641,596257
1/31/13,1.98,337142,170691,507833
2/1/13,1.94,591164,304750,895914
2/4/13,1.96,436463,222697,659160
2/5/13,1.73,363747,209831,573578
2/6/13,1.86,349989,188308,538297
2/7/13,1.75,414670,237035,651705
2/8/13,1.57,488814,311547,800361
2/11/13,1.99,420241,211170,631411
2/12/13,1.4,418232,298764,716996
2/13/13,1.86,523178,280999,804177
2/14/13,1.4,476966,340183,817149
2/15/13,2.08,616071,296357,912428
2/19/13,1.89,541695,287156,828851
2/20/13,2.13,577474,270751,848225
2/21/13,1.55,685814,442225,1128039
2/22/13,1.89,467426,247029,714455
