Put/Call Ratio - 2020,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Equity,,,Index/Other,,,OCC Total,,,
Date,Calls,Puts,P/C Ratio,Calls,Puts,P/C Ratio,Calls,Puts,Total,P/C Ratio
18-Jun,"14,533,785","9,237,278",0.64,"459,381","783,870",1.71,"14,993,166","10,021,148","25,014,314",0.67
17-Jun,"14,259,368","9,472,639",0.66,"758,719","913,211",1.2,"15,018,087","10,385,850","25,403,937",0.69
16-Jun,"17,861,490","11,378,479",0.64,"755,555","916,155",1.21,"18,617,045","12,294,634","30,911,679",0.66
15-Jun,"16,581,922","12,437,758",0.75,"923,635","1,123,357",1.22,"17,505,557","13,561,115","31,066,672",0.77
12-Jun,"21,070,594","18,434,234",0.87,"1,509,818","1,643,653",1.09,"22,580,412","20,077,887","42,658,299",0.89
11-Jun,"23,253,340","21,481,098",0.92,"1,195,985","1,601,847",1.34,"24,449,325","23,082,945","47,532,270",0.94
10-Jun,"21,210,792","12,392,766",0.58,"622,951","833,050",1.34,"21,833,743","13,225,816","35,059,559",0.61
9-Jun,"18,676,770","10,596,010",0.57,"508,287","912,032",1.79,"19,185,057","11,508,042","30,693,099",0.6
8-Jun,"23,533,655","10,882,518",0.46,"771,005","896,480",1.16,"24,304,660","11,778,998","36,083,658",0.48
5-Jun,"28,507,687","16,492,410",0.58,"1,101,168","1,273,791",1.16,"29,608,855","17,766,201","47,375,056",0.6
4-Jun,"19,025,314","11,746,582",0.62,"443,379","779,484",1.76,"19,468,693","12,526,066","31,994,759",0.64
3-Jun,"19,550,400","12,062,822",0.62,"1,014,860","1,088,723",1.07,"20,565,260","13,151,545","33,716,805",0.64
2-Jun,"13,616,465","8,619,988",0.63,"559,984","762,338",1.36,"14,176,449","9,382,326","23,558,775",0.66
1-Jun,"12,297,321","7,873,323",0.64,"499,116","666,083",1.33,"12,796,437","8,539,406","21,335,843",0.67
,,,,,,,,,,
,,,,,,,,,,
May-20,,,,,,,,,,
,Equity,,,Index/Other,,,OCC Total,,,
Date,Calls,Puts,P/C Ratio,Calls,Puts,P/C Ratio,Calls,Puts,Total,P/C Ratio
29-May,"15,404,487","12,418,123",0.81,"624,916","877,632",1.4,"16,029,403","13,295,755","29,325,158",0.83
28-May,"15,522,184","11,849,431",0.76,"725,249","819,454",1.13,"16,247,433","12,668,885","28,916,318",0.78
27-May,"17,730,592","12,007,733",0.68,"678,583","900,167",1.33,"18,409,175","12,907,900","31,317,075",0.7
26-May,"16,263,917","11,217,537",0.69,"747,509","871,890",1.17,"17,011,426","12,089,427","29,100,853",0.71
22-May,"13,590,776","9,920,418",0.73,"508,805","667,449",1.31,"14,099,581","10,587,867","24,687,448",0.75
21-May,"13,788,170","10,552,710",0.77,"409,683","614,642",1.5,"14,197,853","11,167,352","25,365,205",0.79
20-May,"14,554,827","9,973,638",0.69,"690,018","885,187",1.28,"15,244,845","10,858,825","26,103,670",0.71
19-May,"14,241,540","8,839,925",0.62,"656,943","720,828",1.1,"14,898,483","9,560,753","24,459,236",0.64
18-May,"17,921,673","10,942,663",0.61,"795,235","874,103",1.1,"18,716,908","11,816,766","30,533,674",0.63
15-May,"16,467,684","12,206,490",0.74,"933,631","840,036",0.9,"17,401,315","13,046,526","30,447,841",0.75
14-May,"14,757,429","13,278,396",0.9,"779,667","986,964",1.27,"15,537,096","14,265,360","29,802,456",0.92
13-May,"15,349,652","15,424,894",1,"937,459","1,482,696",1.58,"16,287,111","16,907,590","33,194,701",1.04
12-May,"14,184,369","10,839,536",0.76,"590,765","827,532",1.4,"14,775,134","11,667,068","26,442,202",0.79
11-May,"12,694,424","8,906,964",0.7,"694,202","949,733",1.37,"13,388,626","9,856,697","23,245,323",0.74
8-May,"15,317,747","11,448,600",0.75,"646,151","941,289",1.46,"15,963,898","12,389,889","28,353,787",0.78
7-May,"13,559,416","9,850,092",0.73,"582,989","677,312",1.16,"14,142,405","10,527,404","24,669,809",0.74
6-May,"11,567,764","9,743,656",0.84,"496,745","656,006",1.32,"12,064,509","10,399,662","22,464,171",0.86
5-May,"12,243,779","9,272,474",0.76,"460,814","737,191",1.6,"12,704,593","10,009,665","22,714,258",0.79
4-May,"10,652,778","9,408,184",0.88,"553,184","685,278",1.24,"11,205,962","10,093,462","21,299,424",0.9
1-May,"13,548,804","14,158,628",1.05,"654,679","1,089,197",1.66,"14,203,483","15,247,825","29,451,308",1.07
,,,,,,,,,,
,,,,,,,,,,
Apr-20,,,,,,,,,,
,Equity,,,Index/Other,,,OCC Total,,,
Date,Calls,Puts,P/C Ratio,Calls,Puts,P/C Ratio,Calls,Puts,Total,P/C Ratio
30-Apr,"13,360,488","10,871,707",0.81,"572,125","809,650",1.42,"13,932,613","11,681,357","25,613,970",0.84
29-Apr,"16,299,407","12,454,517",0.76,"671,798","1,083,744",1.61,"16,971,205","13,538,261","30,509,466",0.8
28-Apr,"12,591,583","9,650,569",0.77,"450,429","740,584",1.64,"13,042,012","10,391,153","23,433,165",0.8
27-Apr,"12,362,353","10,020,651",0.81,"611,241","1,062,541",1.74,"12,973,594","11,083,192","24,056,786",0.85
24-Apr,"12,636,610","10,802,459",0.85,"577,793","926,156",1.6,"13,214,403","11,728,615","24,943,018",0.89
23-Apr,"13,292,821","9,788,197",0.74,"488,512","649,271",1.33,"13,781,333","10,437,468","24,218,801",0.76
22-Apr,"12,966,440","9,818,765",0.76,"448,877","611,793",1.36,"13,415,317","10,430,558","23,845,875",0.78
21-Apr,"13,838,102","13,282,619",0.96,"539,692","724,535",1.34,"14,377,794","14,007,154","28,384,948",0.97
20-Apr,"14,477,693","11,290,529",0.78,"544,554","841,996",1.55,"15,022,247","12,132,525","27,154,772",0.81
17-Apr,"15,847,348","13,095,304",0.83,"715,614","876,496",1.22,"16,562,962","13,971,800","30,534,762",0.84
16-Apr,"13,736,191","10,919,287",0.79,"560,624","789,572",1.41,"14,296,815","11,708,859","26,005,674",0.82
15-Apr,"12,661,693","11,273,944",0.89,"888,495","1,002,861",1.13,"13,550,188","12,276,805","25,826,993",0.91
